story_id	example_id	conclusion	premises	premises-FOL	label	source
133	393	A five-story building is built in 1915.	['The Blake McFall Company Building is a commercial warehouse listed on the National Register of Historic Places.', 'The Blake McFall Company Building was added to the National Register of Historic Places in 1990.', 'The Emmet Building is a five-story building in Portland, Oregon.', 'The Emmet Building was built in 1915.', 'The Emmet Building is another name for the Blake McFall Company Building.', 'John works at the Emmet Building.']	['∀x (Blake(x) → Building(x))', '∀x (Blake(x) → Historic(x, year1990))', '∀x (Emmet(x) → Building(x) ∧ FiveStory(x) ∧ Locate(x, portland))', '∀x (Emmet(x) → Construct(x, year1915))', '∀x (Emmet(x) ↔ Blake(x))', '∃x (Emmet(x) ∧ Work(john, x))']	True	wiki
133	394	The Blake McFall Company Building is located in Portland, Oregon.	['The Blake McFall Company Building is a commercial warehouse listed on the National Register of Historic Places.', 'The Blake McFall Company Building was added to the National Register of Historic Places in 1990.', 'The Emmet Building is a five-story building in Portland, Oregon.', 'The Emmet Building was built in 1915.', 'The Emmet Building is another name for the Blake McFall Company Building.', 'John works at the Emmet Building.']	['∀x (Blake(x) → Building(x))', '∀x (Blake(x) → Historic(x, year1990))', '∀x (Emmet(x) → Building(x) ∧ FiveStory(x) ∧ Locate(x, portland))', '∀x (Emmet(x) → Construct(x, year1915))', '∀x (Emmet(x) ↔ Blake(x))', '∃x (Emmet(x) ∧ Work(john, x))']	True	wiki
133	395	John started his current job in 1990.	['The Blake McFall Company Building is a commercial warehouse listed on the National Register of Historic Places.', 'The Blake McFall Company Building was added to the National Register of Historic Places in 1990.', 'The Emmet Building is a five-story building in Portland, Oregon.', 'The Emmet Building was built in 1915.', 'The Emmet Building is another name for the Blake McFall Company Building.', 'John works at the Emmet Building.']	['∀x (Blake(x) → Building(x))', '∀x (Blake(x) → Historic(x, year1990))', '∀x (Emmet(x) → Building(x) ∧ FiveStory(x) ∧ Locate(x, portland))', '∀x (Emmet(x) → Construct(x, year1915))', '∀x (Emmet(x) ↔ Blake(x))', '∃x (Emmet(x) ∧ Work(john, x))']	Unknown	wiki
226	640	William Dickinson did not get a seat in the Parliament.	['William Dickinson was a British politician who sat in the House of Commons', 'William Dickinson attended Westminster school for high school and then the University of Edinburgh.', 'The University of Edinburgh is a university located in the United Kingdom.', 'William Dickinson supported the Portland Whigs.', 'People who supported the Portland Whigs did not get a seat in the Parliament.']	['BritishPolitician(williamdickinson) ∧ SatInHouseOfCommons(williamdickinson)', 'Attended(williamdickinson, westminster) ∧ Highschool(westminster) ∧ Attended(williamdickinson, universityofedinburgh)', 'LocatedIn(universityofedinburgh, unitedkingdom) ∧ University(universityofedinburgh)', 'Supported(williamdickinson, portlandwhigs)', '∀x (Supported(x, portlandwhigs) → ¬SeatInParliament(x))']	True	wiki
226	641	William Dickinson went to schools located in the United Kingdom for both high school and university.	['William Dickinson was a British politician who sat in the House of Commons', 'William Dickinson attended Westminster school for high school and then the University of Edinburgh.', 'The University of Edinburgh is a university located in the United Kingdom.', 'William Dickinson supported the Portland Whigs.', 'People who supported the Portland Whigs did not get a seat in the Parliament.']	['BritishPolitician(williamdickinson) ∧ SatInHouseOfCommons(williamdickinson)', 'Attended(williamdickinson, westminster) ∧ Highschool(westminster) ∧ Attended(williamdickinson, universityofedinburgh)', 'LocatedIn(universityofedinburgh, unitedkingdom) ∧ University(universityofedinburgh)', 'Supported(williamdickinson, portlandwhigs)', '∀x (Supported(x, portlandwhigs) → ¬SeatInParliament(x))']	Unknown	wiki
226	642	William Dickinson attended university in the United Kingdom.	['William Dickinson was a British politician who sat in the House of Commons', 'William Dickinson attended Westminster school for high school and then the University of Edinburgh.', 'The University of Edinburgh is a university located in the United Kingdom.', 'William Dickinson supported the Portland Whigs.', 'People who supported the Portland Whigs did not get a seat in the Parliament.']	['BritishPolitician(williamdickinson) ∧ SatInHouseOfCommons(williamdickinson)', 'Attended(williamdickinson, westminster) ∧ Highschool(westminster) ∧ Attended(williamdickinson, universityofedinburgh)', 'LocatedIn(universityofedinburgh, unitedkingdom) ∧ University(universityofedinburgh)', 'Supported(williamdickinson, portlandwhigs)', '∀x (Supported(x, portlandwhigs) → ¬SeatInParliament(x))']	True	wiki
226	643	William Dickinson sat in the House of Commons.	['William Dickinson was a British politician who sat in the House of Commons', 'William Dickinson attended Westminster school for high school and then the University of Edinburgh.', 'The University of Edinburgh is a university located in the United Kingdom.', 'William Dickinson supported the Portland Whigs.', 'People who supported the Portland Whigs did not get a seat in the Parliament.']	['BritishPolitician(williamdickinson) ∧ SatInHouseOfCommons(williamdickinson)', 'Attended(williamdickinson, westminster) ∧ Highschool(westminster) ∧ Attended(williamdickinson, universityofedinburgh)', 'LocatedIn(universityofedinburgh, unitedkingdom) ∧ University(universityofedinburgh)', 'Supported(williamdickinson, portlandwhigs)', '∀x (Supported(x, portlandwhigs) → ¬SeatInParliament(x))']	True	wiki
247	695	Danil knows LanguageA.	['LanguageA is a universal language', 'If a universal language exists, then for every two people if they both know the same universal language they can communicate.', 'Katya cannot communicate with Danil.', 'Katya knows LanguageA. ']	['UniversalLanguage(languageA)', '∀x ∀y (∃z (Know(x, z) ∧ Know(y, z) ∧ UniversalLanguage(z)) → Communicate(x, y))', 'Know(katya, languageA)', '¬Communicate(katya, danil)']	False	wiki
422	1197	James goes to cinemas every week.	['All customers who are subscribed to AMC List are available to watch 3 movies every week without any additional fees. ', 'Some customers go to cinemas every week', 'Customers either subscribe to AMC service or HBO service. ', 'Customers who prefer TV series more and will not watch TV series in cinemas.', 'All customers who subscribe to HBO services prefer TV series to movies. ', 'James watches TV series in cinemas. ']	['∀x (AMC(x) → ThreeMovies(x))', '∃x (CinemaEveryWeek(x))', '∀x (AMC(x) ∨ HBO(x))', '∀x (PreferTVSeries(x) → ¬WatchTVInCinema(x))', '∀x (HBO(x) → PreferTVSeries(x))', 'WatchTVInCinema(james)']	Unknown	hyb
422	1198	James does not go to cinemas every week.	['All customers who are subscribed to AMC List are available to watch 3 movies every week without any additional fees. ', 'Some customers go to cinemas every week', 'Customers either subscribe to AMC service or HBO service. ', 'Customers who prefer TV series more and will not watch TV series in cinemas.', 'All customers who subscribe to HBO services prefer TV series to movies. ', 'James watches TV series in cinemas. ']	['∀x (AMC(x) → ThreeMovies(x))', '∃x (CinemaEveryWeek(x))', '∀x (AMC(x) ∨ HBO(x))', '∀x (PreferTVSeries(x) → ¬WatchTVInCinema(x))', '∀x (HBO(x) → PreferTVSeries(x))', 'WatchTVInCinema(james)']	Unknown	hyb
422	1199	James goes to cinemas every week or watches 3 movies every week without any additional fees.	['All customers who are subscribed to AMC List are available to watch 3 movies every week without any additional fees. ', 'Some customers go to cinemas every week', 'Customers either subscribe to AMC service or HBO service. ', 'Customers who prefer TV series more and will not watch TV series in cinemas.', 'All customers who subscribe to HBO services prefer TV series to movies. ', 'James watches TV series in cinemas. ']	['∀x (AMC(x) → ThreeMovies(x))', '∃x (CinemaEveryWeek(x))', '∀x (AMC(x) ∨ HBO(x))', '∀x (PreferTVSeries(x) → ¬WatchTVInCinema(x))', '∀x (HBO(x) → PreferTVSeries(x))', 'WatchTVInCinema(james)']	True	hyb
422	1200	If James does not both go to cinemas every week and subscribe to HBO service, then James is either available to watch 3 movies every week without any additional fees or he prefers TV more.	['All customers who are subscribed to AMC List are available to watch 3 movies every week without any additional fees. ', 'Some customers go to cinemas every week', 'Customers either subscribe to AMC service or HBO service. ', 'Customers who prefer TV series more and will not watch TV series in cinemas.', 'All customers who subscribe to HBO services prefer TV series to movies. ', 'James watches TV series in cinemas. ']	['∀x (AMC(x) → ThreeMovies(x))', '∃x (CinemaEveryWeek(x))', '∀x (AMC(x) ∨ HBO(x))', '∀x (PreferTVSeries(x) → ¬WatchTVInCinema(x))', '∀x (HBO(x) → PreferTVSeries(x))', 'WatchTVInCinema(james)']	True	hyb
422	1201	If James is available to watch 3 movies every week without any additional fees and he watches TV series in cinemas, then he goes to cinemas every week and prefers TV series more.	['All customers who are subscribed to AMC List are available to watch 3 movies every week without any additional fees. ', 'Some customers go to cinemas every week', 'Customers either subscribe to AMC service or HBO service. ', 'Customers who prefer TV series more and will not watch TV series in cinemas.', 'All customers who subscribe to HBO services prefer TV series to movies. ', 'James watches TV series in cinemas. ']	['∀x (AMC(x) → ThreeMovies(x))', '∃x (CinemaEveryWeek(x))', '∀x (AMC(x) ∨ HBO(x))', '∀x (PreferTVSeries(x) → ¬WatchTVInCinema(x))', '∀x (HBO(x) → PreferTVSeries(x))', 'WatchTVInCinema(james)']	False	hyb
193	553	In La Liga 2021-2022, Real Madrid ranks higher than Barcelona.	['A La Liga soccer team ranks higher than another if it receives more points.', 'If two La Liga soccer teams recieve the same points, the team which recieves more points from the games between the two teams ranks higher.', 'Real Madrid and Barcelona are both La Liga soccer teams.', 'In La Liga 2021-2022, Real Madrid recieves 86 points and Barcelon recieves 73 points.', 'In La Liga 2021-2022, Real Madrid and Barcelona both recieve 3 points from the games between them.']	['∀x ∀y (LaLiga(x) ∧ LaLiga(y) ∧ MorePoints(x, y) → HigherRank(x, y))', '∀x ∀y (LaLiga(x) ∧ LaLiga(y) ∧ ¬MorePoints(x, y) ∧ ¬MorePoints(y, x) ∧ MorePointsInGameBetween(x, y) → HigherRank(x, y))', 'LaLiga(realMadrid) ∧ LaLiga(barcelona)', 'MorePoints(realMadrid, barcelona)', '¬MorePointsInGameBetween(realMadrid, barcelona) ∧ ¬MorePointsInGameBetween(barcelona, realMadrid)']	True	wiki
193	554	In La Liga 2021-2022, Barcelona ranks higher than Real Madrid.	['A La Liga soccer team ranks higher than another if it receives more points.', 'If two La Liga soccer teams recieve the same points, the team which recieves more points from the games between the two teams ranks higher.', 'Real Madrid and Barcelona are both La Liga soccer teams.', 'In La Liga 2021-2022, Real Madrid recieves 86 points and Barcelon recieves 73 points.', 'In La Liga 2021-2022, Real Madrid and Barcelona both recieve 3 points from the games between them.']	['∀x ∀y (LaLiga(x) ∧ LaLiga(y) ∧ MorePoints(x, y) → HigherRank(x, y))', '∀x ∀y (LaLiga(x) ∧ LaLiga(y) ∧ ¬MorePoints(x, y) ∧ ¬MorePoints(y, x) ∧ MorePointsInGameBetween(x, y) → HigherRank(x, y))', 'LaLiga(realMadrid) ∧ LaLiga(barcelona)', 'MorePoints(realMadrid, barcelona)', '¬MorePointsInGameBetween(realMadrid, barcelona) ∧ ¬MorePointsInGameBetween(barcelona, realMadrid)']	False	wiki
82	250	Tom uses the zip code 98199.	['Lawton Park is a neighbourhood in Seattle. ', 'All citizens of Lawton Park use the zip code 98199. ', 'Tom is a citizen of Lawton Park.', 'Daniel uses the zip code 98199. ']	['Neighbourhoodin(lawtonPark, seattle)', '∀x (Citizenof(x, lawtonPark) → Usezipcode(x, number98199))', 'Citizenof(tom, lawtonPark)', 'Usezipcode(daniel, number98199)']	True	wiki
82	251	Tom doesn't use the zip code 98199.	['Lawton Park is a neighbourhood in Seattle. ', 'All citizens of Lawton Park use the zip code 98199. ', 'Tom is a citizen of Lawton Park.', 'Daniel uses the zip code 98199. ']	['Neighbourhoodin(lawtonPark, seattle)', '∀x (Citizenof(x, lawtonPark) → Usezipcode(x, number98199))', 'Citizenof(tom, lawtonPark)', 'Usezipcode(daniel, number98199)']	False	wiki
82	252	Tom is a citizen of Washington.	['Lawton Park is a neighbourhood in Seattle. ', 'All citizens of Lawton Park use the zip code 98199. ', 'Tom is a citizen of Lawton Park.', 'Daniel uses the zip code 98199. ']	['Neighbourhoodin(lawtonPark, seattle)', '∀x (Citizenof(x, lawtonPark) → Usezipcode(x, number98199))', 'Citizenof(tom, lawtonPark)', 'Usezipcode(daniel, number98199)']	Unknown	wiki
82	253	Daniel is a citizen of Lawton Park.	['Lawton Park is a neighbourhood in Seattle. ', 'All citizens of Lawton Park use the zip code 98199. ', 'Tom is a citizen of Lawton Park.', 'Daniel uses the zip code 98199. ']	['Neighbourhoodin(lawtonPark, seattle)', '∀x (Citizenof(x, lawtonPark) → Usezipcode(x, number98199))', 'Citizenof(tom, lawtonPark)', 'Usezipcode(daniel, number98199)']	Unknown	wiki
86	262	Tiffany T. Alston was suspended from the Maryland House of Delegates.	['If a legislator is found guilty of stealing government funds, they will be suspended from office.', "Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.", 'Tiffany T. Alston was found guilty of stealing government funds in 2012.']	['∀x (IsLegislator(x) ∧ StealsFunds(x) → Suspended(x))', 'IsLegislator(tiffanyTAlston)', 'StealsFunds(tiffanyTAlston)']	True	wiki
86	263	Tiffany T. Alston was not suspended from the Maryland House of Delegates.	['If a legislator is found guilty of stealing government funds, they will be suspended from office.', "Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.", 'Tiffany T. Alston was found guilty of stealing government funds in 2012.']	['∀x (IsLegislator(x) ∧ StealsFunds(x) → Suspended(x))', 'IsLegislator(tiffanyTAlston)', 'StealsFunds(tiffanyTAlston)']	False	wiki
86	264	Tiffany T. Alston went to prison for stealing government funds.	['If a legislator is found guilty of stealing government funds, they will be suspended from office.', "Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.", 'Tiffany T. Alston was found guilty of stealing government funds in 2012.']	['∀x (IsLegislator(x) ∧ StealsFunds(x) → Suspended(x))', 'IsLegislator(tiffanyTAlston)', 'StealsFunds(tiffanyTAlston)']	Unknown	wiki
171	494	If you step on a stonefish and don’t use an antivenom, it will cause death.	['Some fish may sting.', 'Stonefish is a fish.', 'It stings to step on a stonefish.', 'Stonefish stings cause death if not treated.', 'To treat stonefish stings, apply heat to the affected area or use an antivenom.']	['∃x ∃y (Fish(x) → Sting(x,y))', 'Fish(stonefish)', '∀x (StepOn(stonefish, x) → Sting(stonefish, x))', '∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeath(x))', '∀x (Sting(stonefish, x) ∧ (ApplyHeat(x) ∨ UseAntivenom(x)) → Treated(x))']	Unknown	wiki
171	495	Stings of some fish can cause death if not treated.	['Some fish may sting.', 'Stonefish is a fish.', 'It stings to step on a stonefish.', 'Stonefish stings cause death if not treated.', 'To treat stonefish stings, apply heat to the affected area or use an antivenom.']	['∃x ∃y (Fish(x) → Sting(x,y))', 'Fish(stonefish)', '∀x (StepOn(stonefish, x) → Sting(stonefish, x))', '∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeath(x))', '∀x (Sting(stonefish, x) ∧ (ApplyHeat(x) ∨ UseAntivenom(x)) → Treated(x))']	True	wiki
171	496	If you step on a stonefish and apply heat to the affected area, stings will cause death.	['Some fish may sting.', 'Stonefish is a fish.', 'It stings to step on a stonefish.', 'Stonefish stings cause death if not treated.', 'To treat stonefish stings, apply heat to the affected area or use an antivenom.']	['∃x ∃y (Fish(x) → Sting(x,y))', 'Fish(stonefish)', '∀x (StepOn(stonefish, x) → Sting(stonefish, x))', '∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeath(x))', '∀x (Sting(stonefish, x) ∧ (ApplyHeat(x) ∨ UseAntivenom(x)) → Treated(x))']	Unknown	wiki
417	1178	L-2021 is in the library.	['Some monitors produced by LG have a type-c port.', 'If the monitor has a type-c port, then it is not produced by AOC.', 'All monitors in the library are produced by AOC. ', 'L-2021 is either in the library or has a type-c port.', 'L-2021 is either produced by AOC and produced by LG, or neither produced by AOC nor produced by LG.']	['∃x (LG(x) ∧ TypeC(x))', '∀x (TypeC(x) → ¬AOC(x))', '∀x (Library(x) → AOC(x))', 'Library(l-2021) ⊕ TypeC(l-2021) ', '¬(AOC(l-2021) ⊕ LG(l-2021))']	Unknown	hyb
417	1179	L-2021 is either in the library or produced by LG.	['Some monitors produced by LG have a type-c port.', 'If the monitor has a type-c port, then it is not produced by AOC.', 'All monitors in the library are produced by AOC. ', 'L-2021 is either in the library or has a type-c port.', 'L-2021 is either produced by AOC and produced by LG, or neither produced by AOC nor produced by LG.']	['∃x (LG(x) ∧ TypeC(x))', '∀x (TypeC(x) → ¬AOC(x))', '∀x (Library(x) → AOC(x))', 'Library(l-2021) ⊕ TypeC(l-2021) ', '¬(AOC(l-2021) ⊕ LG(l-2021))']	False	hyb
417	1180	L-2021 either has a type-c port or is produced by LG.	['Some monitors produced by LG have a type-c port.', 'If the monitor has a type-c port, then it is not produced by AOC.', 'All monitors in the library are produced by AOC. ', 'L-2021 is either in the library or has a type-c port.', 'L-2021 is either produced by AOC and produced by LG, or neither produced by AOC nor produced by LG.']	['∃x (LG(x) ∧ TypeC(x))', '∀x (TypeC(x) → ¬AOC(x))', '∀x (Library(x) → AOC(x))', 'Library(l-2021) ⊕ TypeC(l-2021) ', '¬(AOC(l-2021) ⊕ LG(l-2021))']	True	hyb
417	1181	If L-2021 is either in the library and produced by LG, or neither in the library nor produced by LG,  then L-2021 neither has a type-c port nor is produced by LG.	['Some monitors produced by LG have a type-c port.', 'If the monitor has a type-c port, then it is not produced by AOC.', 'All monitors in the library are produced by AOC. ', 'L-2021 is either in the library or has a type-c port.', 'L-2021 is either produced by AOC and produced by LG, or neither produced by AOC nor produced by LG.']	['∃x (LG(x) ∧ TypeC(x))', '∀x (TypeC(x) → ¬AOC(x))', '∀x (Library(x) → AOC(x))', 'Library(l-2021) ⊕ TypeC(l-2021) ', '¬(AOC(l-2021) ⊕ LG(l-2021))']	False	hyb
417	1182	If L-2021 is either produced by LG and produced by AOC or neither produced by LG nor produced by AOC,  then L-2021 is either in the library or produced by LG.	['Some monitors produced by LG have a type-c port.', 'If the monitor has a type-c port, then it is not produced by AOC.', 'All monitors in the library are produced by AOC. ', 'L-2021 is either in the library or has a type-c port.', 'L-2021 is either produced by AOC and produced by LG, or neither produced by AOC nor produced by LG.']	['∃x (LG(x) ∧ TypeC(x))', '∀x (TypeC(x) → ¬AOC(x))', '∀x (Library(x) → AOC(x))', 'Library(l-2021) ⊕ TypeC(l-2021) ', '¬(AOC(l-2021) ⊕ LG(l-2021))']	False	hyb
377	1010	Jeremy has a busy schedule without time to cook.	['People eat meat regularly or are vegetation.', 'If people eat meat regularly, then they enjoy eating hamburgers and steaks.', 'All people who are vegetarian are conscious of the environment or their health.', 'If people are conscious about the environment or their health, then they do not go to fast food places often.', 'If people have busy schedules without time to cook, then they go to fast food places often.', 'If Jeremy does not both go to fast food places often and is conscious about the environment or their health, then he goes to fast food places often.']	['∀x (Meat(x) ∨ Vegetarian(x))', '∀x (Meat(x) → Hamburgers(x))', '∀x (Vegetarian(x) → Conscious(x))', '∀x (Conscious(x) → ¬FastFood(x))', '∀x (Busy(x) → FastFood(x))', '¬(FastFood(jeremy) ∧ Conscious(jeremy)) → FastFood(jeremy)']	Unknown	hyb
377	1011	Jeremy has a busy schedule without time to cook or enjoy eating hamburgers and steaks.	['People eat meat regularly or are vegetation.', 'If people eat meat regularly, then they enjoy eating hamburgers and steaks.', 'All people who are vegetarian are conscious of the environment or their health.', 'If people are conscious about the environment or their health, then they do not go to fast food places often.', 'If people have busy schedules without time to cook, then they go to fast food places often.', 'If Jeremy does not both go to fast food places often and is conscious about the environment or their health, then he goes to fast food places often.']	['∀x (Meat(x) ∨ Vegetarian(x))', '∀x (Meat(x) → Hamburgers(x))', '∀x (Vegetarian(x) → Conscious(x))', '∀x (Conscious(x) → ¬FastFood(x))', '∀x (Busy(x) → FastFood(x))', '¬(FastFood(jeremy) ∧ Conscious(jeremy)) → FastFood(jeremy)']	True	hyb
377	1012	If Jeremy has a busy schedule without time to cook or enjoy eating hamburgers and steaks, then Jeremy neither has a busy schedule without having time to cook nor enjoys eating hamburgers and steaks.	['People eat meat regularly or are vegetation.', 'If people eat meat regularly, then they enjoy eating hamburgers and steaks.', 'All people who are vegetarian are conscious of the environment or their health.', 'If people are conscious about the environment or their health, then they do not go to fast food places often.', 'If people have busy schedules without time to cook, then they go to fast food places often.', 'If Jeremy does not both go to fast food places often and is conscious about the environment or their health, then he goes to fast food places often.']	['∀x (Meat(x) ∨ Vegetarian(x))', '∀x (Meat(x) → Hamburgers(x))', '∀x (Vegetarian(x) → Conscious(x))', '∀x (Conscious(x) → ¬FastFood(x))', '∀x (Busy(x) → FastFood(x))', '¬(FastFood(jeremy) ∧ Conscious(jeremy)) → FastFood(jeremy)']	False	hyb
